Figure10: Hourly average vertical profiles of Al+, AlO and AlOH (cm-3) for 54N,12E during April.
Averaged over 2004-2014 from hourly WACCM-Al model output
 Time (hour), Altitude (km),Al+,AlO,AlOH (cm-3)
  20  98.00 0.6726840E+02 0.1042950E+02 0.1329010E+00
  20 100.00 0.5537520E+02 0.6316870E+01 0.3521410E-01
  20 102.00 0.4262960E+02 0.3660060E+01 0.8162280E-02
  20 104.00 0.3089690E+02 0.1646780E+01 0.2176590E-02
  20 106.00 0.2186160E+02 0.6979690E+00 0.4609230E-03
  20 108.00 0.1542530E+02 0.2623730E+00 0.1091990E-03
  20 110.00 0.1104880E+02 0.1287950E+00 0.4123440E-04
  20 112.00 0.8019000E+01 0.6151960E-01 0.1589400E-04
  20 114.00 0.6045640E+01 0.3714550E-01 0.8413410E-05
  20 116.00 0.4611470E+01 0.2270740E-01 0.4533230E-05
  20 118.00 0.3607820E+01 0.1483890E-01 0.2570560E-05
  20 120.00 0.2896400E+01 0.1059880E-01 0.1678250E-05
  21  60.00 0.1128820E-10 0.2614930E-09 0.1367560E+00
  21  62.00 0.5251920E-10 0.8660610E-09 0.2333330E+00
  21  64.00 0.6474760E-09 0.3771030E-08 0.5134810E+00
  21  66.00 0.6945010E-08 0.1122600E-07 0.9793300E+00
  21  68.00 0.2988420E-07 0.3080270E-07 0.1927650E+01
  21  70.00 0.4613560E-06 0.1680180E-06 0.4036180E+01
  21  72.00 0.3378580E-05 0.5975000E-06 0.6461030E+01
  21  74.00 0.1704280E-04 0.3171480E-05 0.1143160E+02
  21  76.00 0.1658300E-02 0.1260490E-03 0.1961230E+02
  21  78.00 0.8413100E-01 0.7636080E-02 0.2743800E+02
  21  80.00 0.4831460E+00 0.5908710E-01 0.3823700E+02
  21  82.00 0.5112340E+01 0.1184420E+01 0.5034920E+02
  21  84.00 0.1252880E+02 0.4295770E+01 0.5738990E+02
  21  86.00 0.2908530E+02 0.1467820E+02 0.5549290E+02
  21  88.00 0.4657360E+02 0.2750940E+02 0.4215880E+02
  21  90.00 0.5997630E+02 0.3670530E+02 0.2621240E+02
  21  92.00 0.7055070E+02 0.3546920E+02 0.1243360E+02
  21  94.00 0.7427820E+02 0.2701320E+02 0.5070690E+01
  21  96.00 0.7248630E+02 0.1777550E+02 0.1582660E+01
  21  98.00 0.6542000E+02 0.1088840E+02 0.5096440E+00
  21 100.00 0.5382690E+02 0.6931180E+01 0.1511460E+00
  21 102.00 0.4144070E+02 0.4134420E+01 0.3947090E-01
  21 104.00 0.3003070E+02 0.1892330E+01 0.1105540E-01
  21 106.00 0.2123800E+02 0.8181430E+00 0.2915220E-02
  21 108.00 0.1499970E+02 0.3129740E+00 0.7161630E-03
  21 110.00 0.1076350E+02 0.1559510E+00 0.2844690E-03
  21 112.00 0.7828630E+01 0.7437200E-01 0.9477980E-04
  21 114.00 0.5914520E+01 0.4488200E-01 0.4828230E-04
  21 116.00 0.4519930E+01 0.2706000E-01 0.2321650E-04
  21 118.00 0.3547290E+01 0.1763250E-01 0.1214500E-04
  21 120.00 0.2857150E+01 0.1260100E-01 0.7709750E-05
  22  60.00 0.1160370E-11 0.2395710E-09 0.1408680E+00
  22  62.00 0.5276080E-11 0.7669880E-09 0.2398350E+00
  22  64.00 0.7633880E-10 0.3278590E-08 0.5322360E+00
  22  66.00 0.1578850E-08 0.1023770E-07 0.1022070E+01
  22  68.00 0.8725980E-08 0.2794350E-07 0.2014320E+01
  22  70.00 0.1811690E-06 0.1610810E-06 0.4290210E+01
  22  72.00 0.2331680E-05 0.5931340E-06 0.6913880E+01
  22  74.00 0.1189300E-04 0.2854120E-05 0.1221600E+02
  22  76.00 0.1179340E-02 0.6195610E-04 0.2009880E+02
  22  78.00 0.8479090E-01 0.1320820E-02 0.2744030E+02
  22  80.00 0.4697440E+00 0.1196650E-01 0.3739460E+02
  22  82.00 0.4942970E+01 0.1727860E+00 0.5010140E+02
  22  84.00 0.1220940E+02 0.1373160E+01 0.5852600E+02
  22  86.00 0.2758450E+02 0.5399790E+01 0.6264960E+02
  22  88.00 0.4475320E+02 0.1564980E+02 0.5203580E+02
  22  90.00 0.5785030E+02 0.2438630E+02 0.3666020E+02
  22  92.00 0.6821650E+02 0.2867690E+02 0.1867490E+02
  22  94.00 0.7198520E+02 0.2375830E+02 0.8206740E+01
  22  96.00 0.6990180E+02 0.1696820E+02 0.2800400E+01
  22  98.00 0.6310840E+02 0.1099940E+02 0.9355220E+00
  22 100.00 0.5170490E+02 0.7291470E+01 0.3075050E+00
  22 102.00 0.3954680E+02 0.4357460E+01 0.8961470E-01
  22 104.00 0.2854590E+02 0.2004610E+01 0.2640320E-01
  22 106.00 0.2011830E+02 0.8836670E+00 0.8448580E-02
  22 108.00 0.1421820E+02 0.3497000E+00 0.2386280E-02
  22 110.00 0.1023700E+02 0.1761530E+00 0.9778090E-03
  22 112.00 0.7482450E+01 0.8463670E-01 0.3094060E-03
  22 114.00 0.5693520E+01 0.5149290E-01 0.1540080E-03
  22 116.00 0.4382020E+01 0.3108640E-01 0.6780050E-04
  22 118.00 0.3461130E+01 0.2019930E-01 0.3199090E-04
  22 120.00 0.2812000E+01 0.1459990E-01 0.1994940E-04
  23  60.00 0.6315870E-12 0.2301100E-09 0.1436510E+00
  23  62.00 0.2484030E-11 0.7065570E-09 0.2443170E+00
  23  64.00 0.2651520E-10 0.2994570E-08 0.5471120E+00
  23  66.00 0.5973610E-09 0.1003440E-07 0.1067750E+01
  23  68.00 0.4755560E-08 0.2736010E-07 0.2065010E+01
  23  70.00 0.9321740E-07 0.1659280E-06 0.4402730E+01
  23  72.00 0.2012380E-05 0.6508120E-06 0.7118810E+01
  23  74.00 0.1137810E-04 0.3050110E-05 0.1249830E+02
  23  76.00 0.9559970E-03 0.5217090E-04 0.2036870E+02
  23  78.00 0.9444180E-01 0.1328650E-02 0.2758460E+02
  23  80.00 0.4926000E+00 0.8207970E-02 0.3700480E+02
  23  82.00 0.4889420E+01 0.8016780E-01 0.4941710E+02
  23  84.00 0.1222980E+02 0.7132470E+00 0.5789460E+02
  23  86.00 0.2677730E+02 0.2560040E+01 0.6366400E+02
  23  88.00 0.4367820E+02 0.1015650E+02 0.5560470E+02
  23  90.00 0.5665230E+02 0.1731450E+02 0.4189520E+02
  23  92.00 0.6679980E+02 0.2372420E+02 0.2277160E+02
  23  94.00 0.7063270E+02 0.2116570E+02 0.1052750E+02
  23  96.00 0.6838060E+02 0.1621610E+02 0.3863940E+01
  23  98.00 0.6165170E+02 0.1112890E+02 0.1336600E+01
  23 100.00 0.5005630E+02 0.7615760E+01 0.4718700E+00
  23 102.00 0.3801140E+02 0.4562010E+01 0.1509720E+00
  23 104.00 0.2737440E+02 0.2106880E+01 0.4740350E-01
  23 106.00 0.1932970E+02 0.9419720E+00 0.1684500E-01
  23 108.00 0.1372230E+02 0.3834660E+00 0.5301790E-02
  23 110.00 0.9931460E+01 0.1973040E+00 0.2270550E-02
  23 112.00 0.7303600E+01 0.9694050E-01 0.7747320E-03
  23 114.00 0.5597470E+01 0.5952140E-01 0.3861530E-03
  23 116.00 0.4336840E+01 0.3659300E-01 0.1756000E-03
  23 118.00 0.3439160E+01 0.2372420E-01 0.7808830E-04
  23 120.00 0.2811060E+01 0.1728980E-01 0.4874140E-04
  24  60.00 0.5086520E-12 0.2246960E-09 0.1472440E+00
  24  62.00 0.1839930E-11 0.6615160E-09 0.2493530E+00
  24  64.00 0.1657940E-10 0.2795530E-08 0.5647840E+00
  24  66.00 0.3260980E-09 0.1013400E-07 0.1119580E+01
  24  68.00 0.3718830E-08 0.2741600E-07 0.2121430E+01
  24  70.00 0.5774320E-07 0.1729480E-06 0.4507290E+01
  24  72.00 0.1751410E-05 0.7104710E-06 0.7342570E+01
  24  74.00 0.1135490E-04 0.3170460E-05 0.1280980E+02
  24  76.00 0.9892120E-03 0.5425310E-04 0.2086790E+02
  24  78.00 0.9566320E-01 0.1356270E-02 0.2807740E+02
  24  80.00 0.5095790E+00 0.7594630E-02 0.3725710E+02
  24  82.00 0.4885260E+01 0.6763740E-01 0.4939000E+02
  24  84.00 0.1228270E+02 0.4620430E+00 0.5757510E+02
  24  86.00 0.2670470E+02 0.1537020E+01 0.6346530E+02
  24  88.00 0.4347030E+02 0.7200630E+01 0.5708190E+02
  24  90.00 0.5642820E+02 0.1313010E+02 0.4471690E+02
  24  92.00 0.6640660E+02 0.2003650E+02 0.2561220E+02
  24  94.00 0.7035360E+02 0.1921890E+02 0.1233060E+02
  24  96.00 0.6790350E+02 0.1563380E+02 0.4767920E+01
  24  98.00 0.6058430E+02 0.1131480E+02 0.1736640E+01
  24 100.00 0.4888160E+02 0.7939070E+01 0.6446910E+00
  24 102.00 0.3712450E+02 0.4819330E+01 0.2198250E+00
  24 104.00 0.2685160E+02 0.2246260E+01 0.7466970E-01
  24 106.00 0.1907690E+02 0.1024990E+01 0.2872380E-01
  24 108.00 0.1363570E+02 0.4351380E+00 0.1022130E-01
  24 110.00 0.9943480E+01 0.2297950E+00 0.4620730E-02
  24 112.00 0.7353790E+01 0.1169760E+00 0.1720550E-02
  24 114.00 0.5652380E+01 0.7196350E-01 0.8693130E-03
  24 116.00 0.4396160E+01 0.4481300E-01 0.4185020E-03
  24 118.00 0.3485990E+01 0.2886940E-01 0.1870700E-03
  24 120.00 0.2851970E+01 0.2101280E-01 0.1165220E-03
